threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.20000000000000004,78,0,18,50,0.8125,1.0,0.896551724137931,0.8767123287671232,h
0.25000000000000006,78,0,15,53,0.8387096774193549,1.0,0.9122807017543859,0.8972602739726028,h
0.30000000000000004,78,0,15,53,0.8387096774193549,1.0,0.9122807017543859,0.8972602739726028,h
0.3500000000000001,78,0,14,54,0.8478260869565217,1.0,0.9176470588235294,0.9041095890410958,h
0.40000000000000013,78,0,13,55,0.8571428571428571,1.0,0.923076923076923,0.910958904109589,h
0.45000000000000007,78,0,12,56,0.8666666666666667,1.0,0.9285714285714286,0.9178082191780822,h
0.5000000000000001,78,0,12,56,0.8666666666666667,1.0,0.9285714285714286,0.9178082191780822,h
0.5500000000000002,76,2,12,56,0.8636363636363636,0.9743589743589743,0.9156626506024097,0.9041095890410958,h
0.6000000000000002,76,2,12,56,0.8636363636363636,0.9743589743589743,0.9156626506024097,0.9041095890410958,h
0.6500000000000001,75,3,7,61,0.9146341463414634,0.9615384615384616,0.9375000000000001,0.9315068493150684,h
0.7000000000000002,74,4,6,62,0.925,0.9487179487179487,0.9367088607594937,0.9315068493150684,h
0.7500000000000002,74,4,4,64,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9452054794520548,h
0.8000000000000002,71,7,3,65,0.9594594594594594,0.9102564102564102,0.9342105263157894,0.9315068493150684,h
0.8500000000000002,68,10,3,65,0.9577464788732394,0.8717948717948718,0.9127516778523489,0.910958904109589,h
0.9000000000000002,64,14,0,68,1.0,0.8205128205128205,0.9014084507042254,0.9041095890410958,h
0.9500000000000003,35,43,0,68,1.0,0.44871794871794873,0.6194690265486726,0.7054794520547946,h
0.1,91,0,0,110,1.0,1.0,1.0,1.0,i
0.15000000000000002,91,0,0,110,1.0,1.0,1.0,1.0,i
0.20000000000000004,91,0,0,110,1.0,1.0,1.0,1.0,i
0.25000000000000006,91,0,0,110,1.0,1.0,1.0,1.0,i
0.30000000000000004,91,0,0,110,1.0,1.0,1.0,1.0,i
0.3500000000000001,91,0,0,110,1.0,1.0,1.0,1.0,i
0.40000000000000013,91,0,0,110,1.0,1.0,1.0,1.0,i
0.45000000000000007,91,0,0,110,1.0,1.0,1.0,1.0,i
0.5000000000000001,91,0,0,110,1.0,1.0,1.0,1.0,i
0.5500000000000002,91,0,0,110,1.0,1.0,1.0,1.0,i
0.6000000000000002,90,1,0,110,1.0,0.989010989010989,0.994475138121547,0.9950248756218906,i
0.6500000000000001,90,1,0,110,1.0,0.989010989010989,0.994475138121547,0.9950248756218906,i
0.7000000000000002,90,1,0,110,1.0,0.989010989010989,0.994475138121547,0.9950248756218906,i
0.7500000000000002,90,1,0,110,1.0,0.989010989010989,0.994475138121547,0.9950248756218906,i
0.8000000000000002,90,1,0,110,1.0,0.989010989010989,0.994475138121547,0.9950248756218906,i
0.8500000000000002,88,3,0,110,1.0,0.967032967032967,0.9832402234636871,0.9850746268656716,i
0.9000000000000002,79,12,0,110,1.0,0.8681318681318682,0.9294117647058824,0.9402985074626866,i
0.9500000000000003,41,50,0,110,1.0,0.45054945054945056,0.6212121212121212,0.7512437810945274,i
0.1,241,3,20,226,0.9233716475095786,0.9877049180327869,0.9544554455445545,0.9530612244897959,k
0.15000000000000002,241,3,16,230,0.9377431906614786,0.9877049180327869,0.9620758483033933,0.9612244897959183,k
0.20000000000000004,241,3,16,230,0.9377431906614786,0.9877049180327869,0.9620758483033933,0.9612244897959183,k
0.25000000000000006,241,3,16,230,0.9377431906614786,0.9877049180327869,0.9620758483033933,0.9612244897959183,k
0.30000000000000004,241,3,16,230,0.9377431906614786,0.9877049180327869,0.9620758483033933,0.9612244897959183,k
0.3500000000000001,241,3,15,231,0.94140625,0.9877049180327869,0.964,0.963265306122449,k
0.40000000000000013,240,4,15,231,0.9411764705882353,0.9836065573770492,0.9619238476953909,0.9612244897959183,k
0.45000000000000007,240,4,14,232,0.9448818897637795,0.9836065573770492,0.9638554216867471,0.963265306122449,k
0.5000000000000001,240,4,13,233,0.9486166007905138,0.9836065573770492,0.9657947686116699,0.9653061224489796,k
0.5500000000000002,239,5,12,234,0.952191235059761,0.9795081967213115,0.9656565656565657,0.9653061224489796,k
0.6000000000000002,239,5,8,238,0.9676113360323887,0.9795081967213115,0.9735234215885948,0.9734693877551021,k
0.6500000000000001,239,5,4,242,0.9835390946502057,0.9795081967213115,0.9815195071868583,0.9816326530612245,k
0.7000000000000002,238,6,4,242,0.9834710743801653,0.9754098360655737,0.9794238683127573,0.9795918367346939,k
0.7500000000000002,237,7,3,243,0.9875,0.9713114754098361,0.9793388429752066,0.9795918367346939,k
0.8000000000000002,235,9,2,244,0.9915611814345991,0.9631147540983607,0.9771309771309771,0.9775510204081632,k
0.8500000000000002,231,13,2,244,0.9914163090128756,0.9467213114754098,0.968553459119497,0.9693877551020408,k
0.9000000000000002,226,18,2,244,0.9912280701754386,0.9262295081967213,0.9576271186440678,0.9591836734693877,k
0.9500000000000003,214,30,2,244,0.9907407407407407,0.8770491803278688,0.9304347826086956,0.9346938775510204,k
0.1,122,1,46,45,0.7261904761904762,0.991869918699187,0.838487972508591,0.780373831775701,l
0.15000000000000002,122,1,42,49,0.7439024390243902,0.991869918699187,0.8501742160278745,0.7990654205607477,l
0.20000000000000004,122,1,37,54,0.7672955974842768,0.991869918699187,0.8652482269503546,0.822429906542056,l
0.25000000000000006,122,1,29,62,0.8079470198675497,0.991869918699187,0.8905109489051094,0.8598130841121495,l
0.30000000000000004,122,1,19,72,0.8652482269503546,0.991869918699187,0.9242424242424242,0.9065420560747663,l
0.3500000000000001,122,1,4,87,0.9682539682539683,0.991869918699187,0.9799196787148594,0.9766355140186916,l
0.40000000000000013,121,2,2,89,0.983739837398374,0.983739837398374,0.983739837398374,0.9813084112149533,l
0.45000000000000007,121,2,2,89,0.983739837398374,0.983739837398374,0.983739837398374,0.9813084112149533,l
0.5000000000000001,121,2,2,89,0.983739837398374,0.983739837398374,0.983739837398374,0.9813084112149533,l
0.5500000000000002,121,2,2,89,0.983739837398374,0.983739837398374,0.983739837398374,0.9813084112149533,l
0.6000000000000002,121,2,2,89,0.983739837398374,0.983739837398374,0.983739837398374,0.9813084112149533,l
0.6500000000000001,120,3,2,89,0.9836065573770492,0.975609756097561,0.9795918367346939,0.9766355140186916,l
0.7000000000000002,120,3,1,90,0.9917355371900827,0.975609756097561,0.9836065573770492,0.9813084112149533,l
0.7500000000000002,120,3,1,90,0.9917355371900827,0.975609756097561,0.9836065573770492,0.9813084112149533,l
